Constructor,Cost,TotalPoints,AvgPoints,PriceChange,SelectionPct,PPM,Overtakes,Podiums,Top10s,DNFs,FastestLaps,FastestPitstops
Mercedes,31.4,592,84.57,2.1,35,2.69,84,9,11,1,4,42
Ferrari,25.4,476,68,2.1,41,2.68,89,6,12,1,1,27
McLaren,29.8,308,44,0.9,11,1.48,59,4,8,4,1,32
RedBull,29.7,264,37.71,1.5,7,1.27,122,1,9,4,1,21
Alpine,16.7,216,30.86,4.2,8,1.85,80,1,10,1,0,10
RacingBulls,10.5,189,27,4.2,31,2.57,78,0,8,2,0,29
Haas,10.4,145,20.71,3,27,1.99,101,0,5,2,0,4
Williams,15,109,15.57,3,10,1.04,90,0,5,3,0,16
Cadillac,5.4,18,2.57,-0.6,8,0.48,65,0,0,4,0,6
Audi,4.4,26,3.71,-2.2,20,0.84,75,0,1,4,0,24
AstonMartin,6.9,-86,-12.29,-3.4,2,-1.78,67,0,1,6,0,12
