Driver,Team,Cost,TotalPoints,AvgPoints,PriceChange,SelectionPct,PPM,Overtakes,Podiums,Top10s,DNFs,FastestLaps,DOTD
ANTONELLI,Mercedes,25.0,309,51.5,1.8,33,2.06,37,6,6,0,4,2
HAMILTON,Ferrari,23.9,181,30.17,1.4,17,1.26,38,3,6,0,0,1
RUSSELL,Mercedes,28.2,157,26.17,0.8,24,0.93,45,2,4,1,0,0
LECLERC,Ferrari,23.8,152,25.33,1.0,31,1.06,46,2,5,1,0,0
VERSTAPPEN,RedBull,28.3,144,24.0,0.6,17,0.85,74,1,4,2,1,2
PIASTRI,McLaren,25.1,94,15.67,0.4,10,0.62,28,2,3,2,0,1
NORRIS,McLaren,26.2,78,13.0,-1.0,8,0.5,28,1,3,3,1,0
LAWSON,RacingBulls,8.1,77,12.83,1.6,28,1.58,36,0,4,1,0,0
OCON,Haas,10.1,76,12.67,2.8,15,1.25,50,0,2,0,0,0
SAINZ,Williams,12.6,68,11.33,0.8,25,0.9,40,0,3,0,0,0
COLAPINTO,Alpine,9.4,66,11.0,3.2,22,1.17,35,0,3,0,0,0
GASLY,Alpine,11.6,65,10.83,0.4,17,0.93,36,0,5,1,0,0
PEREZ,Cadillac,6.8,44,7.33,0.8,19,1.08,42,0,0,1,0,0
BEARMAN,Haas,8.2,37,6.17,0.8,55,0.75,38,0,3,2,0,0
HADJAR,RedBull,11.5,29,4.83,-3.6,29,0.42,36,1,3,2,0,0
LINDBLAD,RacingBulls,5.8,24,4.0,0.4,40,0.69,34,0,2,1,0,0
ALBON,Williams,8.8,21,3.5,-2.8,8,0.4,39,0,2,2,0,0
BORTOLETO,Audi,5.6,19,3.17,-0.8,35,0.57,32,0,1,1,0,0
ALONSO,AstonMartin,6.8,-8,-1.33,-3.2,7,-0.2,39,0,1,3,0,0
BOTTAS,Cadillac,3.9,-15,-2.5,-2.0,23,-0.64,18,0,0,2,0,0
HULKENBERG,Audi,3.5,-28,-4.67,-3.3,32,-1.33,34,0,0,2,0,0
STROLL,AstonMartin,4.8,-46,-7.67,-3.2,3,-1.6,25,0,0,4,0,0
